bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for The First Bible Two Different Lists title,generate episode title variants from ep-02 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-02/ep-02_titles-two-lists-prompt.md,text-prompt-pack,ready,site-content,uses actual site headings for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate parchment and codex beds for explanatory sections,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for Josephus evidence and comparison callouts,pair with episode-02 comparison prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-02/ep-02_comparison-cards-hebrew-vs-septuagint-prompt.md,text-prompt-pack,ready,site-content,uses exact site claims for comparison and evidence cards,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/map-marker-01.svg,reusable-kit,approved,series-kits,supports restrained Palestine and Alexandria locator comparison,use in simple geography comp
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for inheritance before later conflict,compose chronology from Septuagint formation to Reformation removal
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled parchment reveal and sober transitions,use sparingly in opener and chapter breaks
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for Palestine Alexandria and consequence sections,assign to the three act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the removed not added evidence card,build final source close from the core tension line
