bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for the Why It Matters culmination title,generate title variants from ep-07 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-07/ep-07_titles-why-it-matters-prompt.md,text-prompt-pack,ready,site-content,uses actual site stakes language for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate solemn codex and conclusion beds for the culmination episode,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for consequence beats tied to Wisdom 3 2 Maccabees 12 1 Enoch and the Maccabean bridge,pair with episode-07 consequence prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-07/ep-07_consequence-cards-prompt.md,text-prompt-pack,ready,site-content,uses exact site claims for doctrine and history consequence cards,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,can support a simple intertestamental-bridge visualization instead of a geographic map,decide whether to build a Malachi-to-Jesus bridge card for first cut
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for canon decisions and downstream stakes,compose Hippo Trent Westminster consequence sequence
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled reveal layer for culmination cards and closing perspective transitions,use sparingly in section shifts
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for doctrine history and final-perspective sections,assign to the three act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the richer-story perspective line,build final source close from the culmination card set
