bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for The Deeper Removed Texts title,generate episode title variants from ep-04 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-04/ep-04_titles-deeper-removed-texts-prompt.md,text-prompt-pack,ready,site-content,uses actual site headings for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate cave fragment and archive beds for exposition sections,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for Qumran evidence and Enoch authority beats,pair with episode-04 evidence prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-04/ep-04_qumran-enoch-prompt.md,text-prompt-pack,ready,site-content,uses exact site claims for Qumran cave evidence and Enoch authority,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/map-marker-01.svg,reusable-kit,approved,series-kits,supports restrained Qumran locator relative to Jerusalem and the Dead Sea,use in simple geography comp
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for textual circulation before and after 68 AD,compose chronology from pre-Christian copying to later exclusion
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/dust-field-01.svg,reusable-kit,approved,series-kits,desert and fragment atmosphere layer,use sparingly in cave and archive transitions
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for Qumran Scrolls and Enoch sections,assign to the three act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the survival-versus-exclusion evidence line,build final source close from the Enoch and Qumran proof set
