filename,category,subcategory,subject,period,style,source_name,source_url,license_status,creator,orientation,resolution,status,notes
pending-manuscripts-ethiopian-gospel-001,manuscripts,raw,ethiopian gospel manuscript folio,medieval,illuminated manuscript,British Library,,pending,,portrait,,target,Search: ethiopian gospel manuscript folio | Promote for codex-opening and illuminated borders
pending-manuscripts-incipit-page-001,manuscripts,raw,illuminated gospel incipit page,medieval,illuminated manuscript,British Library,,pending,,portrait,,target,Search: illuminated gospel incipit page | Promote for parchment reveals and title beds
pending-ethiopian-art-border-001,ethiopian-art,raw,geez manuscript ornament border,medieval,ethiopian ornament,British Library,,pending,,portrait,,target,Search: geez manuscript ornament border | Promote for frame elements
pending-scroll-textures-edge-detail-001,scroll-textures,raw,parchment manuscript edge detail,medieval,texture detail,British Library,,pending,,macro,,target,Search: parchment manuscript edge detail | Promote for overlays and edge burns
pending-roman-empire-bust-001,roman-empire,raw,roman emperor bust,classical,marble authority,The Met,,pending,,portrait,,target,Search: roman emperor bust marble | Promote for imperial intros and timeline events
pending-paintings-crucifixion-001,paintings,raw,crucifixion painting,early christian,dramatic painting,The Met,,pending,,landscape,,target,Search: crucifixion painting | Promote for slow push cutaways
pending-maps-roman-empire-001,maps,raw,roman empire map,classical,atlas map,Library of Congress,,pending,,landscape,,target,Search: roman empire map | Promote for map zooms
pending-maps-jerusalem-001,maps,raw,jerusalem old city map,first century,historical map,Library of Congress,,pending,,landscape,,target,Search: jerusalem map old city | Promote for Jerusalem orientation
pending-temple-jerusalem-plan-001,temple-jerusalem,raw,temple mount plan,first century,sacred geography,Library of Congress,,pending,,landscape,,target,Search: temple mount plan jerusalem | Promote for sacred geography overlays
pending-typography-blackletter-001,typography-references,raw,bible title page blackletter,early modern,engraved typography,New York Public Library,,pending,,portrait,,target,Search: bible title page blackletter | Promote for title systems
pending-ancient-ruins-engraving-001,ancient-ruins,raw,roman ruins engraving,classical,engraving,New York Public Library,,pending,,landscape,,target,Search: roman ruins engraving | Promote for timeline end caps
pending-church-interiors-library-001,church-interiors,raw,monastery library interior,medieval,interior atmosphere,New York Public Library,,pending,,landscape,,target,Search: monastery library interior | Promote for scribal settings
pending-maps-roman-provinces-001,maps,raw,roman provinces map,classical,atlas map,Europeana,,pending,,landscape,,target,Search: roman provinces map | Promote for empire map templates
pending-ethiopian-art-orthodox-001,ethiopian-art,raw,ethiopian orthodox manuscript,medieval,ethiopian manuscript,Europeana,,pending,,portrait,,target,Search: ethiopian orthodox manuscript | Promote for border language
pending-paintings-destruction-001,paintings,raw,destruction of jerusalem painting,70 AD,historical painting,Wikimedia Commons,,pending,,landscape,,target,Search: destruction of jerusalem painting | Promote for 70 AD sequences
pending-roman-empire-titus-001,roman-empire,raw,arch of titus relief,classical,imperial relief,Wikimedia Commons,,pending,,landscape,,target,Search: arch of titus relief | Promote for imperial conquest imagery
pending-maps-jewish-war-001,maps,raw,first jewish roman war map,66-70 AD,war map,Wikimedia Commons,,pending,,landscape,,target,Search: first jewish roman war map | Promote for war timeline sequences
pending-candles-rack-001,candles,raw,church candle rack,undated,atmosphere,Wikimedia Commons,,pending,,portrait,,target,Search: church candle rack | Promote for transitional atmosphere
pending-maps-jerusalem-atlas-001,maps,raw,ancient jerusalem atlas map,first century,atlas map,David Rumsey,,pending,,landscape,,target,Search: ancient jerusalem atlas map | Promote for city zooms
pending-maps-roman-roads-001,maps,raw,roman roads map,classical,route map,David Rumsey,,pending,,landscape,,target,Search: roman roads map | Promote for route reveals
pending-paintings-jerome-001,paintings,raw,saint jerome writing painting,late antique,scholarly painting,National Gallery of Art,,pending,,portrait,,target,Search: saint jerome writing painting | Promote for translation and canon sequences
pending-typography-frontispiece-001,typography-references,raw,engraved frontispiece bible,early modern,engraved typography,Rijksmuseum,,pending,,portrait,,target,Search: engraved frontispiece bible | Promote for title cards
pending-scroll-textures-burned-001,scroll-textures,raw,burned parchment texture,undated,texture,Rawpixel or Openverse,,pending,,landscape,,target,Search: burned parchment texture | Promote for glowing parchment reveal
pending-candles-flame-001,candles,raw,candle flame close up dark background,undated,atmosphere,Rawpixel or Openverse,,pending,,portrait,,target,Search: candle flame close up dark background | Promote for bridge shots
pending-manuscripts-rubricated-page-001,manuscripts,raw,rubricated manuscript page gold initial,medieval,illuminated manuscript,British Library,,pending,,portrait,,target,Search: rubricated manuscript page gold initial | Promote for red/gold text reveals
pending-typography-uncial-page-001,typography-references,raw,uncial manuscript script page,medieval,script reference,British Library,,pending,,portrait,,target,Search: uncial manuscript script page | Promote for chapter titles and lower thirds
pending-ethiopian-art-saint-001,ethiopian-art,raw,ethiopian manuscript illumination saint,medieval,ethiopian miniature,British Library,,pending,,portrait,,target,Search: ethiopian manuscript illumination saint | Promote for miniature inserts and border systems
pending-manuscripts-codex-spread-001,manuscripts,raw,vellum codex open spread,medieval,codex spread,British Library,,pending,,landscape,,target,Search: vellum codex open spread | Promote for codex-opening transition
pending-typography-illuminated-initial-001,typography-references,raw,medieval illuminated initial letter,medieval,ornamental letter,British Library,,pending,,portrait,,target,Search: medieval illuminated initial letter | Promote for illuminated borders
pending-manuscripts-canon-tables-001,manuscripts,raw,gospel canon tables manuscript,medieval,illuminated manuscript,British Library,,pending,,portrait,,target,Search: gospel canon tables manuscript | Promote for title cards and section openers
pending-roman-empire-coin-001,roman-empire,raw,roman coin emperor,classical,coin detail,The Met,,pending,,portrait,,target,Search: roman coin emperor | Promote for marker icons and title details
pending-ancient-ruins-inscription-001,ancient-ruins,raw,roman inscription stone,classical,stone relief,The Met,,pending,,landscape,,target,Search: roman inscription stone | Promote for background plates and overlays
pending-paintings-jerome-study-001,paintings,raw,saint jerome study painting,late antique,scholarly painting,The Met,,pending,,portrait,,target,Search: saint jerome study painting | Promote for narration beds
pending-church-interiors-apse-001,church-interiors,raw,apse mosaic church interior,medieval,interior atmosphere,The Met,,pending,,landscape,,target,Search: apse mosaic church interior | Promote for doctrinal authority shots
pending-manuscripts-leaf-gospel-book-001,manuscripts,raw,illuminated leaf gospel book,medieval,illuminated manuscript,The Met,,pending,,portrait,,target,Search: illuminated leaf gospel book | Promote for parchment reveals
pending-ethiopian-art-christian-manuscript-001,ethiopian-art,raw,ethiopian christian art manuscript,medieval,ethiopian manuscript,The Met,,pending,,portrait,,target,Search: ethiopian christian art manuscript | Promote for ornament language
pending-typography-initial-leaf-001,typography-references,raw,illuminated initial manuscript leaf,medieval,lettering reference,The Met,,pending,,portrait,,target,Search: illuminated initial manuscript leaf | Promote for chapter initials
pending-scroll-textures-leaf-001,scroll-textures,raw,parchment leaf texture,undated,texture,The Met,,pending,,landscape,,target,Search: parchment leaf texture | Promote for texture beds
pending-maps-judea-palestine-001,maps,raw,judea palestine historical map,first century,historical map,Library of Congress,,pending,,landscape,,target,Search: judea palestine historical map | Promote for first-century geography
pending-temple-jerusalem-illustration-001,temple-jerusalem,raw,jerusalem temple historical illustration,first century,sacred geography,Library of Congress,,pending,,landscape,,target,Search: jerusalem temple historical illustration | Promote for Temple context
pending-ancient-ruins-jerusalem-walls-001,ancient-ruins,raw,jerusalem walls photograph,first century,ruin detail,Library of Congress,,pending,,landscape,,target,Search: jerusalem walls photograph | Promote for ruin transitions
pending-church-interiors-cathedral-nave-001,church-interiors,raw,cathedral interior nave,medieval,interior atmosphere,Library of Congress,,pending,,landscape,,target,Search: cathedral interior nave | Promote for institution scale
pending-paintings-jerusalem-illustration-001,paintings,raw,destruction of jerusalem illustration,70 AD,historical illustration,Library of Congress,,pending,,landscape,,target,Search: destruction of jerusalem illustration | Promote for 70 AD sequences
pending-maps-paul-journeys-001,maps,raw,paul missionary journeys map,apostolic era,route map,Library of Congress,,pending,,landscape,,target,Search: paul missionary journeys map | Promote for route reveals
pending-maps-mediterranean-trade-001,maps,raw,mediterranean trade routes map,classical,route map,Library of Congress,,pending,,landscape,,target,Search: mediterranean trade routes map | Promote for empire spread visuals
pending-maps-nypl-jerusalem-001,maps,raw,ancient jerusalem map,first century,historical map,New York Public Library,,pending,,landscape,,target,Search: ancient jerusalem map | Promote for map zooms
pending-manuscripts-nypl-leaf-001,manuscripts,raw,illuminated manuscript leaf,medieval,illuminated manuscript,New York Public Library,,pending,,portrait,,target,Search: illuminated manuscript leaf | Promote for quote cards
pending-paintings-council-religious-001,paintings,raw,council painting religious,late antique,council scene,New York Public Library,,pending,,landscape,,target,Search: council painting religious | Promote for council cutaways
pending-maps-holy-land-atlas-001,maps,raw,holy land map atlas,biblical era,atlas map,New York Public Library,,pending,,landscape,,target,Search: holy land map atlas | Promote for geography cards
pending-typography-theological-title-001,typography-references,raw,engraved theological title page,early modern,engraved typography,New York Public Library,,pending,,portrait,,target,Search: engraved theological title page | Promote for chapter card hierarchy
pending-scroll-textures-paper-scan-001,scroll-textures,raw,old paper texture scan,undated,texture,New York Public Library,,pending,,landscape,,target,Search: old paper texture scan | Promote for title beds
pending-paintings-scribe-desk-001,paintings,raw,scribe at desk painting,medieval,scholarly painting,New York Public Library,,pending,,portrait,,target,Search: scribe at desk painting | Promote for narration support
pending-manuscripts-europeana-bible-001,manuscripts,raw,illuminated bible manuscript,medieval,illuminated manuscript,Europeana,,pending,,portrait,,target,Search: illuminated bible manuscript | Promote for codex inserts
pending-typography-rubricated-page-001,typography-references,raw,rubricated manuscript page,medieval,lettering reference,Europeana,,pending,,portrait,,target,Search: rubricated manuscript page | Promote for red/gold systems
pending-church-interiors-cathedral-mosaic-001,church-interiors,raw,cathedral apse mosaic,medieval,interior atmosphere,Europeana,,pending,,landscape,,target,Search: cathedral apse mosaic | Promote for authority shots
pending-ancient-ruins-classical-engraving-001,ancient-ruins,raw,classical ruins engraving,classical,engraving,Europeana,,pending,,landscape,,target,Search: classical ruins engraving | Promote for ruin overlays
pending-paintings-martyrdom-001,paintings,raw,martyrdom painting public domain,early christian,dramatic painting,Europeana,,pending,,landscape,,target,Search: martyrdom painting public domain | Promote for emotional cutaways
pending-manuscripts-gospel-decorated-001,manuscripts,raw,gospel book decorated page,medieval,illuminated manuscript,Europeana,,pending,,portrait,,target,Search: gospel book decorated page | Promote for chapter openers
pending-maps-eastern-mediterranean-001,maps,raw,eastern mediterranean historical map,classical,historical map,Europeana,,pending,,landscape,,target,Search: eastern mediterranean historical map | Promote for travel transitions
pending-typography-uncial-calligraphy-001,typography-references,raw,uncial calligraphy manuscript,medieval,calligraphy reference,Europeana,,pending,,portrait,,target,Search: uncial calligraphy manuscript | Promote for lettering reference
pending-ethiopian-art-gospel-miniature-001,ethiopian-art,raw,ethiopian gospel miniature,medieval,ethiopian miniature,Wikimedia Commons,,pending,,portrait,,target,Search: ethiopian gospel miniature | Promote for miniature inserts
pending-temple-jerusalem-model-001,temple-jerusalem,raw,second temple model jerusalem,first century,model reference,Wikimedia Commons,,pending,,landscape,,target,Search: second temple model jerusalem | Promote for Temple orientation
pending-ancient-ruins-roman-column-001,ancient-ruins,raw,roman ruins column,classical,ruin detail,Wikimedia Commons,,pending,,portrait,,target,Search: roman ruins column | Promote for collapse motifs
pending-church-interiors-commons-nave-001,church-interiors,raw,cathedral nave interior,medieval,interior atmosphere,Wikimedia Commons,,pending,,landscape,,target,Search: cathedral nave interior | Promote for institutional scale
pending-typography-commons-initial-001,typography-references,raw,illuminated initial letter manuscript,medieval,ornamental letter,Wikimedia Commons,,pending,,portrait,,target,Search: illuminated initial letter manuscript | Promote for frame ornaments
pending-scroll-textures-commons-parchment-001,scroll-textures,raw,parchment texture,undated,texture,Wikimedia Commons,,pending,,landscape,,target,Search: parchment texture | Promote for overlay packs
pending-maps-rumsey-empire-atlas-001,maps,raw,roman empire atlas,classical,atlas map,David Rumsey,,pending,,landscape,,target,Search: roman empire atlas | Promote for zoom base maps
pending-maps-rumsey-palestine-atlas-001,maps,raw,palestine historical atlas,biblical era,atlas map,David Rumsey,,pending,,landscape,,target,Search: palestine historical atlas | Promote for Jerusalem geography
pending-maps-rumsey-holy-land-001,maps,raw,holy land map 19th century,19th century,atlas map,David Rumsey,,pending,,landscape,,target,Search: holy land map 19th century | Promote for antique map texture
pending-maps-rumsey-asia-minor-001,maps,raw,asia minor roman map,classical,route map,David Rumsey,,pending,,landscape,,target,Search: asia minor roman map | Promote for Pauline route sequences
pending-maps-rumsey-mediterranean-sea-001,maps,raw,mediterranean sea antique map,classical,atlas map,David Rumsey,,pending,,landscape,,target,Search: mediterranean sea antique map | Promote for spread transitions
pending-maps-rumsey-judaea-samaria-001,maps,raw,judaea samaria map,first century,regional map,David Rumsey,,pending,,landscape,,target,Search: judaea samaria map | Promote for conflict geography
pending-maps-rumsey-levant-001,maps,raw,levant antique map,classical,atlas map,David Rumsey,,pending,,landscape,,target,Search: levant antique map | Promote for chapter openers
pending-maps-rumsey-environs-001,maps,raw,jerusalem environs map,first century,regional map,David Rumsey,,pending,,landscape,,target,Search: jerusalem environs map | Promote for local geography overlays
pending-paintings-nga-crucifixion-001,paintings,raw,crucifixion painting,early christian,dramatic painting,National Gallery of Art,,pending,,landscape,,target,Search: crucifixion painting | Promote for Passion references
pending-paintings-augustine-001,paintings,raw,saint augustine painting,late antique,authority portrait,National Gallery of Art,,pending,,portrait,,target,Search: saint augustine painting | Promote for canon authority portraits
pending-paintings-martyrdom-saint-001,paintings,raw,martyrdom saint painting,early christian,dramatic painting,National Gallery of Art,,pending,,landscape,,target,Search: martyrdom saint painting | Promote for dramatic inserts
pending-paintings-evangelist-001,paintings,raw,evangelist manuscript painting,medieval,manuscript scene,National Gallery of Art,,pending,,portrait,,target,Search: evangelist manuscript painting | Promote for codex sequences
pending-paintings-temple-destruction-001,paintings,raw,temple destruction biblical painting,70 AD,historical painting,National Gallery of Art,,pending,,landscape,,target,Search: temple destruction biblical painting | Promote for 70 AD aftermath
pending-church-interiors-altar-painting-001,church-interiors,raw,altar painting interior,medieval,interior atmosphere,National Gallery of Art,,pending,,landscape,,target,Search: altar painting interior | Promote for ecclesial power imagery
pending-typography-devotional-title-001,typography-references,raw,engraved devotional title page,early modern,engraved typography,National Gallery of Art,,pending,,portrait,,target,Search: engraved devotional title page | Promote for title card rhythm
pending-paintings-christ-pilate-001,paintings,raw,christ before pilate painting,early christian,dramatic painting,National Gallery of Art,,pending,,landscape,,target,Search: christ before pilate painting | Promote for Roman trial context
pending-paintings-ecumenical-council-001,paintings,raw,ecumenical council painting,late antique,council scene,National Gallery of Art,,pending,,landscape,,target,Search: ecumenical council painting | Promote for council sequences
pending-typography-rijks-blackletter-001,typography-references,raw,blackletter bible title page,early modern,blackletter reference,Rijksmuseum,,pending,,portrait,,target,Search: blackletter bible title page | Promote for chapter headers
pending-scroll-textures-rijks-paper-001,scroll-textures,raw,old paper texture,undated,texture,Rijksmuseum,,pending,,landscape,,target,Search: old paper texture | Promote for background loops
pending-paintings-scholar-study-001,paintings,raw,scholar study painting,early modern,scholarly painting,Rijksmuseum,,pending,,portrait,,target,Search: scholar study painting | Promote for narration beds
pending-church-interiors-rijks-interior-001,church-interiors,raw,church interior painting,early modern,interior atmosphere,Rijksmuseum,,pending,,landscape,,target,Search: church interior painting | Promote for atmosphere shots
pending-candles-still-life-001,candles,raw,candle still life painting,early modern,still life,Rijksmuseum,,pending,,portrait,,target,Search: candle still life painting | Promote for contemplative bridges
pending-paintings-apostle-portrait-001,paintings,raw,apostle portrait painting,early christian,authority portrait,Rijksmuseum,,pending,,portrait,,target,Search: apostle portrait painting | Promote for authority inserts
pending-scroll-textures-paper-stain-001,scroll-textures,raw,paper stain texture,undated,texture,Rijksmuseum,,pending,,landscape,,target,Search: paper stain texture | Promote for overlay packs
pending-typography-ornamental-letter-001,typography-references,raw,ornamental letter engraving,early modern,ornamental letter,Rijksmuseum,,pending,,portrait,,target,Search: ornamental letter engraving | Promote for illuminated borders
pending-paintings-religious-council-001,paintings,raw,religious council scene,early modern,council scene,Rijksmuseum,,pending,,landscape,,target,Search: religious council scene | Promote for church decision imagery
pending-scroll-textures-torn-edge-001,scroll-textures,raw,torn paper edge texture,undated,texture,Rawpixel or Openverse,,pending,,landscape,,target,Search: torn paper edge texture | Promote for matte overlays
pending-candles-smoke-trail-001,candles,raw,candle smoke trail dark,undated,atmosphere,Rawpixel or Openverse,,pending,,portrait,,target,Search: candle smoke trail dark | Promote for transition overlays
pending-ancient-ruins-weathered-stone-001,ancient-ruins,raw,weathered stone texture,undated,texture,Rawpixel or Openverse,,pending,,landscape,,target,Search: weathered stone texture | Promote for title backplates
pending-maps-parchment-texture-001,maps,raw,parchment map texture,undated,texture,Rawpixel or Openverse,,pending,,landscape,,target,Search: parchment map texture | Promote for map templates
pending-scroll-textures-dust-overlay-001,scroll-textures,raw,dust particles overlay black background,undated,overlay,Rawpixel or Openverse,,pending,,landscape,,target,Search: dust particles overlay black background | Promote for atmosphere overlays
pending-typography-ornate-border-001,typography-references,raw,ornate manuscript border,medieval,ornament reference,Rawpixel or Openverse,,pending,,portrait,,target,Search: ornate manuscript border | Promote for frame elements
pending-manuscripts-open-bible-page-001,manuscripts,raw,open bible manuscript page,medieval,codex page,Rawpixel or Openverse,,pending,,portrait,,target,Search: open bible manuscript page | Promote for codex-opening and quote beds
pending-ethiopian-art-cross-pattern-001,ethiopian-art,raw,ethiopian orthodox cross pattern,medieval,ornament pattern,Rawpixel or Openverse,,pending,,portrait,,target,Search: ethiopian orthodox cross pattern | Promote for border packs and title ornament
