bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for The Removed Books What They Are title,generate title variants from ep-08 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-08/ep-08_titles-removed-books-prompt.md,text-prompt-pack,ready,site-content,uses actual site framing for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate codex and library beds for the guided inventory episode,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for the seven book profiles and additions comparison beats,pair with episode-08 profile prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-08/ep-08_book-profile-cards-prompt.md,text-prompt-pack,ready,site-content,uses exact site descriptions for the seven books and the Esther Daniel additions,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/locator-badge-jerusalem.svg,reusable-kit,approved,series-kits,can support a minimal setting cue for Jerusalem Alexandria Babylon or Maccabean context,decide whether one compact settings card helps first assembly
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for showing where these books sit before later exclusion,compose one concise excluded-not-erased chronology
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled reveal layer for profile cards and additions transitions,use sparingly in chapter shifts
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for story history wisdom and additions sections,assign to the three act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the excluded-not-erased line,build final source close from the inventory card set
