bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for The Forty-Year Fuse title,generate episode title variants from ep-01 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-01/ep-01_titles-forty-year-fuse-prompt.md,text-prompt-pack,ready,site-content,uses actual site headings for opener and chapter-card copy,run in text tool and select 1 to 3 variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate parchment and codex context beds for early historical setup,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for Josephus and Caiaphas quotations,pair with episode-specific quote prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-01/ep-01_quote-cards-josephus-caiaphas-prompt.md,text-prompt-pack,ready,site-content,uses exact quotations and source lines from the site,run in text tool and keep safest readable variants
04-map-sequence,visual-library/05-ai-automation/briefs/jerusalem-map-sequence-brief.json,ai-brief,ready,automation-layer,core recurring map motion brief for Jerusalem and Judea,run video prompt pack and record outputs
04-map-sequence,visual-library/05-ai-automation/runs/2026-05-14_jerusalem-map-run_starter_v001.md,run-log,ready,automation-layer,provenance scaffold for first map generation pass,fill during first run
04-map-sequence,visual-library/02-series-kits/frame-elements/locator-badge-jerusalem.svg,reusable-kit,approved,series-kits,dominant locator mark for Jerusalem orientation,use in first map comp or motion study
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for the 30 AD to 100 AD chain,compose timeline beats around site's forty-year chain table
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/dust-field-01.svg,reusable-kit,approved,series-kits,ash and aftermath atmosphere layer,use behind ruin or Temple-collapse transitions
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled glow for parchment reveal and solemn transitions,use sparingly in opener and act breaks
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for act transitions,assign to Fire Would Not Die and Death Cracked the Dam sections
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close the episode on sourced consequences and canon fallout,build final evidence card from site conclusion lines
