bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for the How the Canon Was Shaped finale title,generate title variants from ep-09 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-09/ep-09_titles-canon-timeline-prompt.md,text-prompt-pack,ready,site-content,uses actual timeline framing for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate archive council and print-era atmosphere beds for the chronology episode,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for witness cards milestone cards and disputed-canon quotations,pair with episode-09 timeline prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-09/ep-09_timeline-cards-prompt.md,text-prompt-pack,ready,site-content,uses exact site milestones for timeline cards witness cards and chronology strips,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,can double as the sparse structure behind geography cues if one location bridge is needed,decide if any geography card adds clarity without crowding chronology
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,primary chronology spine from Septuagint to the 1826 print cutoff,compose one concise master sequence
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled reveal layer for chapter shifts and closing transitions,use sparingly between chronology clusters
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for early formation witness era councils and Reformation closure,assign to the three main act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the chain-of-decisions conclusion,build final source close from the chronology card set
